en;ru;kk;translation_key
keyColumns=translation_key;actionType=modify

Communal services;Коммунальные услуги;Коммунальные услуги;communal_payments
Communal services;Коммунальные услуги;Коммунальные услуги;communal_payments_full
Tickets;Оплата билетов;Оплата билетов;flights
Tickets;Оплата билетов;Оплата билетов;flights_full
Fines and taxes;Штрафы и платежи в бюджет;Штрафы и платежи в бюджет;traffic_fines
Fines and taxes;Штрафы и платежи в бюджет;Штрафы и платежи в бюджет;traffic_fines_full
Online games;Online развлечения;Online развлечения;online_games
Online games;Online развлечения;Online развлечения;online_games_full
E-money;E-деньги;E-деньги;electronic_money
E-money;E-деньги;E-деньги;electronic_money_full
Other services;Другие услуги;Другие услуги;other
Other services;Другие услуги;Другие услуги;other_full
Favorites;Избранное;Избранное;favorites
Favorites;Избранное;Избранное;favorites_full
