en;ru;kk;translation_key;output_channel
keyColumns=translation_key;actionType=modify

New payment;Платеж со счета;Шоттан төлеу;account_paymentFromAccount;M
Transfer between accounts;Перевод между своими счетами;Есептік жазбаларыңыз арасында ауысу;account_transferTransfer;M
Conversion;Конвертация;Айырбастау;account_transferConversion;M
Transfer in favor of 3 persons in tg;Перевод в пользу 3-х лиц в тг;3 адамның пайдасына тг;account_domesticTransferOrder;M
Transfer in favor of 3 persons in foreign currency;Перевод в пользу 3-х лиц в инвалюте;Шетел валютасында 3 адамның пайдасына аудару;account_intTransferOrder;M
Open current account;Открыть текущий счет;Ағымдағы шотты ашыңыз;account_openCurrentAccountOrder;M
Send details;Отправить реквизиты;Мәліметтерді жіберу;account_sendRequisites;M

Transfer between accounts;Перевод между своими счетами;Есептік жазбаларыңыз арасында ауысу;deposit_transferTransfer;M
Open a Deposit;Открыть Депозит;Салымды ашыңыз;deposit_openDepositOrder;M

Repay a loan;Погасить кредит;Қарызды өтеу үшін;credit_prescheduledRepaymentOrder;M

New payment;Платеж с карты;Картадан төлеу;card_paymentFromAccount;M
Transfer between accounts;Перевод между своими счетами;Есептік жазбаларыңыз арасында ауысу;card_transferTransfer;M
Transfer to VTB card;Перевод между картами ВТБ;ВТБ карталарының арасында ауысу;card_domesticTransferOrder;M
Card re-issue;Перевыпуск карты;Картаны қайта шығару;card_openCardOrder;M
Block card;Заблокировать карту;Құлыптау картасы;card_block;M
Unblock card;Разблокировать карту;Картаны өшіріңіз;unblockCard;M
SMS / 3D Secure management;Управление СМС/3D Secure;SMS / 3D қауіпсіз басқару;card_open3dSecureOrder;M

Register;Зарегистрироваться;Тіркелу;mobile.register;M
Remember phone;Запомнить телефон;Телефонды есте сақтаңыз;remember.phone;M
Help;Помощь и поддержка;Анықтама және қолдау;mobile.help;M
Exchange rates;Курсы валют;Валюталардың бағамдары;today_currencies;M
Cross-rate;Кросс-курс;Кросс-бағам;cross_currencies;M
Cancel;Отменить;Болдырмау;mobile.cancel;M
Repeat;Повторить;Қайталау;mobile.repeat;M

Refuse;Отказать;Бас тарту;mob_action_reject;M
Pay ;Оплатить;Төлеу;mob_action_pay;M
Recall;Отозвать;Кері шақырту;mob_common_withdraw;M
Delete;Удалить;Алып тастау;mob_common_delete;M
Block;Заблокировать;Бұғаттау;mob_common_deactivate;M
Activate;Активировать;Белсендіру;mob_common_activate;M
Send to bank;Отправить в банк;Банкке жөнелту;mob_action_sentToBank;M
To editing;Редактировать;Редактировать;mob_action_toDraft;M
Sign;Подписать;Қол қою;mob_common_sign;M
For signature;На подпись;Қол қоюға;mob_action_sendForSignature;M
Save template;Сохранить шаблон;Шаблонды сақтау;mob_action_updateTemplate;M
Create a template;Создать шаблон;Шаблон жасау;mob_action_createTemplate;M
Repeat ;Повторить;Қайталау;mob_action_repeat;M
Create a copy;Создать копию;Көшірме жасау;mob_action_createCopy;M
Create Document;Создать платеж;Создать платеж;mob_action_createNewDocument;M
Save;Сохранить;Сохранить;mob_action_updateDocument;M
View;Просмотр;Тетіктерді;mob_action_view;M
